AÑO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,N_SIMPLE,N_EXTORSIVO,TOTAL,Población,Tasa_100k,Total Combatientes,Total de Víctimas del Caso,Asesinatos Selectivos,Victimas Masacre,AGENTE DEL ESTADO,AGENTE DEL ESTADO - GUERRILLA,CRIMEN ORGANIZADO,GRUPO ARMADO NO IDENTIFICADO,GRUPO PARAMILITAR,GRUPO POSDESMOVILIZACIÓN,GUERRILLA,AGENTE DEL ESTADO - GRUPO PARAMILITAR,Presencia,Intensidad,Categoría,Grupo de categoría,num_cai,avg_integrantes
1996,5,ANTIOQUIA,5854,VALDIVIA,4,15,19,13552,140.20070838252656,6.0,6.0,32.0,12.0,6.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,conflicto interrumpido,alta intensidad,Fuertemente afectados e interrumpido,3,2.0,26.0
1996,5,ANTIOQUIA,5856,VALPARAISO,0,1,1,10117,9.884353069091627,1.0,1.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Sin conflicto,baja intensidad,Sin conflicto,7,2.0,66.0
1996,5,ANTIOQUIA,5856,VALPARAISO,0,1,1,10117,9.884353069091627,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Sin conflicto,baja intensidad,Sin conflicto,7,2.0,66.0
1996,5,ANTIOQUIA,5856,VALPARAISO,0,1,1,10117,9.884353069091627,1.0,1.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Sin conflicto,baja intensidad,Sin conflicto,7,2.0,66.0
1996,5,ANTIOQUIA,5858,VEGACHI,0,5,5,12320,40.58441558441559,2.0,2.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,2.0,53.0
1996,5,ANTIOQUIA,5887,YARUMAL,0,7,7,36665,19.091776898949952,2.0,2.0,23.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,conflicto interrumpido,alta intensidad,Fuertemente afectados e interrumpido,3,4.0,80.0
1996,5,ANTIOQUIA,5890,YOLOMBO,1,3,4,22324,17.917935853789643,1.0,2.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,1.0,53.0
1996,8,ATLANTICO,8001,BARRANQUILLA,0,16,16,996262,1.606003240111537,5.0,6.0,13.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,Conflicto permanente,alta intensidad,Fuertemente afectados y persistente,1,130.0,2444.3076923076924
1996,8,ATLANTICO,8078,BARANOA,0,1,1,44129,2.266083527838836,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,5.0,510.0
1996,8,ATLANTICO,8421,LURUACO,0,2,2,22090,9.053870529651427,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,3.0,257.0
1996,8,ATLANTICO,8436,MANATI,0,1,1,16925,5.908419497784343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,1.0,302.0
1996,8,ATLANTICO,8520,PALMAR DE VARELA,0,1,1,19198,5.2088759245754765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,1.0,305.0
1996,8,ATLANTICO,8606,REPELON,0,1,1,20473,4.884482000683827,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin conflicto,baja intensidad,Sin conflicto,7,1.0,326.0
1996,8,ATLANTICO,8634,SABANAGRANDE,0,1,1,19998,5.000500050005001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,2.0,1771.0
1996,8,ATLANTICO,8638,SABANALARGA,0,2,2,67259,2.973579743974784,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,10.0,1218.0
1996,8,ATLANTICO,8638,SABANALARGA,0,2,2,67259,2.973579743974784,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,10.0,1218.0
1996,8,ATLANTICO,8685,SANTO TOMAS,0,1,1,20793,4.8093108257586685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,2.0,368.0
1996,11,BOGOTA D.C.,11001,BOGOTA D.C.,4,58,62,5614203,1.1043419698218964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conflicto permanente,alta intensidad,Fuertemente afectados y persistente,1,,
1996,13,BOLIVAR,13001,CARTAGENA,0,6,6,702148,0.8545206993397404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conflicto permanente,alta intensidad,Fuertemente afectados y persistente,1,103.0,3100.921568627451
1996,13,BOLIVAR,13140,CALAMAR,0,3,3,23294,12.878852923499615,1.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,2.0,
1996,13,BOLIVAR,13140,CALAMAR,0,3,3,23294,12.878852923499615,1.0,1.0,7.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,2.0,
1996,13,BOLIVAR,13244,EL CARMEN DE BOLIVAR,0,1,1,65221,1.533248493583355,2.0,4.0,55.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,conflicto interrumpido,alta intensidad,Fuertemente afectados e interrumpido,3,3.0,
1996,13,BOLIVAR,13430,MAGANGUE,0,8,8,103994,7.692751504894513,1.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,6.0,74.0
1996,13,BOLIVAR,13473,MORALES,0,1,1,13663,7.3190368147551785,1.0,1.0,6.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,3.0,62.0
1996,13,BOLIVAR,13473,MORALES,0,1,1,13663,7.3190368147551785,0.0,0.0,6.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,3.0,62.0
