AÑO,MUNICIPIO,N_SIMPLE,N_EXTORSIVO,TOTAL,Población,Tasa_100k,Total Combatientes,Total de Víctimas del Caso,Asesinatos Selectivos,Victimas Masacre,AGENTE DEL ESTADO,CRIMEN ORGANIZADO,GRUPO ARMADO NO IDENTIFICADO,GRUPO PARAMILITAR,GRUPO POSDESMOVILIZACIÓN,GUERRILLA,Grupo de categoría,num_cai,avg_integrantes,Presencia_Sin conflicto,Presencia_conflicto interrumpido,Presencia_conflicto pacificado,Intensidad_baja intensidad,Categoría_Fuertemente afectados y persistente,Categoría_Levemente afectados e interrumpido,Categoría_Levemente afectados y finalizado,Categoría_Levemente afectados y persistente,Categoría_Sin conflicto,victimas_pc,violencia_estruct,share_guerrilla,cobertura_cai,personal_pc,diff_guerrilla_param,TOTAL_lag1,TOTAL_roll3
1996,SAN LUIS,0,5,5,13988,35.74492422076065,1.0,2.0,19.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,3,2.0,97.0,0,1,0,0,0,0,0,0,0,0.0015012868172719473,3.8,4.0,0.00014297969688304262,0.0069345152988275665,0.8,0.0,5.0
1996,SAN PEDRO,0,5,5,16934,29.526396598559117,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.0,334.0,0,1,0,1,0,1,0,0,0,5.905279319711823e-05,0.2,0.0,0.00011810558639423645,0.019723632927837485,0.0,0.0,5.0
1996,SAN PEDRO,0,5,5,16934,29.526396598559117,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.0,334.0,0,1,0,1,0,1,0,0,0,0.000531475138774064,1.8,0.0,0.00011810558639423645,0.019723632927837485,0.0,5.0,5.0
1996,SAN ROQUE,5,7,12,20732,57.88153579008296,8.0,8.0,73.0,18.0,2.0,0.0,0.0,3.0,0.0,2.0,4,3.0,111.0,0,1,0,1,0,1,0,0,0,0.004775226702681845,7.583333333333333,0.25,0.0001447038394752074,0.005354042060582674,-0.16666666666666666,0.0,12.0
1996,SAN VICENTE,0,2,2,21834,9.160025648071816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,32.0,0,1,0,1,0,1,0,0,0,0.0,0.0,0.0,4.5800128240359075e-05,0.0014656041036914904,0.0,0.0,2.0
1996,SANTA ROSA DE OSOS,0,1,1,28743,3.479107956719897,0.0,0.0,11.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,4,1.0,50.0,0,1,0,1,0,1,0,0,0,0.0005566572730751836,16.0,0.0,3.479107956719897e-05,0.0017395539783599484,-0.5,0.0,1.0
1996,SANTO DOMINGO,0,2,2,15260,13.10615989515072,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.0,46.0,0,1,0,1,0,1,0,0,0,0.001965923984272608,15.0,0.0,0.0001310615989515072,0.0030144167758846658,0.0,0.0,2.0
1996,EL SANTUARIO,1,6,7,27875,25.112107623318387,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,19.4,502.2,0,1,0,1,0,1,0,0,0,0.000609865470852018,2.4285714285714284,0.0,0.0006959641255605381,0.018016143497757847,0.0,0.0,7.0
1996,SEGOVIA,0,2,2,27051,7.393442016930983,10.0,12.0,30.0,14.0,6.0,0.0,0.0,1.0,0.0,7.0,4,3.0,139.0,0,1,0,1,0,1,0,0,0,0.002070163764740675,22.0,0.7,0.00011090163025396473,0.005138442201767033,0.6666666666666666,0.0,2.0
1996,SONSON,0,4,4,39855,10.0363818843307,4.0,5.0,29.0,6.0,3.0,0.0,0.0,2.0,0.0,2.0,3,1.0,51.0,0,1,0,0,0,0,0,0,0,0.00100363818843307,8.75,0.5,2.5090954710826748e-05,0.001279638690252164,0.0,0.0,4.0
