FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,TIPO DELITO,CANTIDAD
12/03/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
13/03/1996,44,LA GUAJIRA,44430,MAICAO,SECUESTRO EXTORSIVO,1
13/03/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
14/03/1996,54,NORTE DE SANTANDER,54001,CUCUTA,SECUESTRO EXTORSIVO,1
14/03/1996,54,NORTE DE SANTANDER,54001,CUCUTA,SECUESTRO EXTORSIVO,1
14/03/1996,08,ATLANTICO,08001,BARRANQUILLA,SECUESTRO EXTORSIVO,1
14/03/1996,54,NORTE DE SANTANDER,54001,CUCUTA,SECUESTRO SIMPLE,1
15/03/1996,47,MAGDALENA,47288,FUNDACION,SECUESTRO EXTORSIVO,1
16/03/1996,68,SANTANDER,68081,BARRANCABERMEJA,SECUESTRO EXTORSIVO,1
16/03/1996,08,ATLANTICO,08638,SABANALARGA,SECUESTRO EXTORSIVO,1
16/03/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
17/03/1996,11,BOGOTA D.C.,11001,BOGOTA D.C.,SECUESTRO EXTORSIVO,1
18/03/1996,70,SUCRE,70771,SUCRE,SECUESTRO EXTORSIVO,1
18/03/1996,70,SUCRE,70771,SUCRE,SECUESTRO EXTORSIVO,1
18/03/1996,66,RISARALDA,66001,PEREIRA,SECUESTRO EXTORSIVO,1
18/03/1996,50,META,50001,VILLAVICENCIO,SECUESTRO EXTORSIVO,1
18/03/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
19/03/1996,54,NORTE DE SANTANDER,54003,ABREGO,SECUESTRO EXTORSIVO,1
19/03/1996,54,NORTE DE SANTANDER,54003,ABREGO,SECUESTRO EXTORSIVO,1
19/03/1996,54,NORTE DE SANTANDER,54003,ABREGO,SECUESTRO EXTORSIVO,1
19/03/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
19/03/1996,05,ANTIOQUIA,05045,APARTADO,SECUESTRO SIMPLE,1
20/03/1996,05,ANTIOQUIA,05756,SONSON,SECUESTRO EXTORSIVO,1
20/03/1996,05,ANTIOQUIA,05480,MUTATA,SECUESTRO EXTORSIVO,1
20/03/1996,05,ANTIOQUIA,05480,MUTATA,SECUESTRO EXTORSIVO,1
20/03/1996,13,BOLIVAR,13001,CARTAGENA,SECUESTRO EXTORSIVO,1
21/03/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
21/03/1996,27,CHOCO,27361,ISTMINA,SECUESTRO EXTORSIVO,1
21/03/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
21/03/1996,68,SANTANDER,68575,PUERTO WILCHES,SECUESTRO EXTORSIVO,1
21/03/1996,13,BOLIVAR,13670,SAN PABLO,SECUESTRO EXTORSIVO,1
21/03/1996,17,CALDAS,17001,MANIZALES,SECUESTRO EXTORSIVO,1
22/03/1996,41,HUILA,41016,AIPE,SECUESTRO EXTORSIVO,1
22/03/1996,50,META,50001,VILLAVICENCIO,SECUESTRO EXTORSIVO,1
22/03/1996,13,BOLIVAR,13473,MORALES,SECUESTRO EXTORSIVO,1
23/03/1996,66,RISARALDA,66001,PEREIRA,SECUESTRO EXTORSIVO,1
23/03/1996,54,NORTE DE SANTANDER,54498,OCAÑA,SECUESTRO EXTORSIVO,1
23/03/1996,05,ANTIOQUIA,05628,SABANALARGA,SECUESTRO EXTORSIVO,1
23/03/1996,05,ANTIOQUIA,05658,SAN JOSE DE LA MONTAÑA,SECUESTRO SIMPLE,1
23/03/1996,05,ANTIOQUIA,05628,SABANALARGA,SECUESTRO EXTORSIVO,1
24/03/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
24/03/1996,70,SUCRE,70429,MAJAGUAL,SECUESTRO EXTORSIVO,1
24/03/1996,70,SUCRE,70429,MAJAGUAL,SECUESTRO EXTORSIVO,1
24/03/1996,70,SUCRE,70429,MAJAGUAL,SECUESTRO EXTORSIVO,1
